primary_description,_source_sheet,_source_row_number,Name/Desc of Feature/Bug/Idea/Wish List Item,Related Feature/Section/Category,Source Document Name: Section/Topic,High-Level Category,Source Document Name & Date: Section/Topic,Source Documen & Section/Topic,Source Document & Section/Topic/Slide,Source Document & Section,Scope,Priority,Status,Category,Source,Name/Desc,Item / Description,Source (Date/Document),Name/Description,Related Feature/Section,User/Project Management,Item / Feature / Idea / Bug,Source Context/Date,Item/Feature,Description/Status/Notes,Source Context,Feature/Bug/Idea/Wish List Item,Source Document(s)
"Tracking Progress: Knowing what’s been processed/verified (e.g., a progress bar).",Francis  Michael meeting notes,24,,,,,,,,,,,,Feature/UI/Status,,,,,,,,"Tracking Progress: Knowing what’s been processed/verified (e.g., a progress bar).",Antenna gaps - big picture,,,,,
"Taxonomy management (External sources, managing taxa/lists/synonyms, mapping to algorithms, bulk import to assign to lists).",Francis  Michael meeting notes,25,,,,,,,,,,,,Feature/Data Mgmt/UI,,,,,,,,"Taxonomy management (External sources, managing taxa/lists/synonyms, mapping to algorithms, bulk import to assign to lists).",Antenna gaps - big picture,,,,,
Darwincore export and Export format for ML retraining.,Francis  Michael meeting notes,26,,,,,,,,,,,,Feature/Export,,,,,,,,Darwincore export and Export format for ML retraining.,Antenna gaps - big picture,,,,,
"Research/Document plan for easier data import from cameras/SD cards (Desktop app, CLI scripts) to reduce mistakes.",Francis  Michael meeting notes,27,,,,,,,,,,,,Feature/Upload,,,,,,,,"Research/Document plan for easier data import from cameras/SD cards (Desktop app, CLI scripts) to reduce mistakes.",Antenna gaps - big picture,,,,,
"Importing taxa lists or data processed externally (detections, predictions, data from private HPC, list of public HTTP URLs).",Francis  Michael meeting notes,28,,,,,,,,,,,,Feature/Import,,,,,,,,"Importing taxa lists or data processed externally (detections, predictions, data from private HPC, list of public HTTP URLs).",Antenna gaps - big picture,,,,,
"Misc. UI gaps: More obvious interlinking between occurrence detail and session detail, Consistent saving behavior, Hovering toolbar in session detail, Regex null bug.",Francis  Michael meeting notes,29,,,,,,,,,,,,Bug/Feature/UI,,,,,,,,"Misc. UI gaps: More obvious interlinking between occurrence detail and session detail, Consistent saving behavior, Hovering toolbar in session detail, Regex null bug.",Antenna gaps - big picture,,,,,
Add alerts for species on user watch lists.,Francis  Michael meeting notes,30,,,,,,,,,,,,Feature/UI,,,,,,,,Add alerts for species on user watch lists.,2025 RPP Application (2026 Expected Outcomes),,,,,
Implement enhanced post-processing techniques (moths & insects specific) to improve accuracy.,Francis  Michael meeting notes,31,,,,,,,,,,,,Feature/ML,,,,,,,,Implement enhanced post-processing techniques (moths & insects specific) to improve accuracy.,2025 RPP Application (2026 Expected Outcomes),,,,,
"Transition to automated and centralized instance management (Terraform/Ansible for VMs, Docker Swarm for services).",Francis  Michael meeting notes,32,,,,,,,,,,,,Infrastructure/Tech Debt,,,,,,,,"Transition to automated and centralized instance management (Terraform/Ansible for VMs, Docker Swarm for services).",2025 RPP Application (2026 Expected Outcomes),,,,,
"Research focus on uncertainty metrics and adding UI/UX features to help users interpret predictions (e.g., trustworthy results for summaries/notifications).",Francis  Michael meeting notes,33,,,,,,,,,,,,Feature/ML/UI,,,,,,,,"Research focus on uncertainty metrics and adding UI/UX features to help users interpret predictions (e.g., trustworthy results for summaries/notifications).",2025 RPP Application (2027 Expected Outcomes),,,,,
Add general notifications.,Francis  Michael meeting notes,34,,,,,,,,,,,,Feature/UI,,,,,,,,Add general notifications.,2025 RPP Application (2027 Expected Outcomes),,,,,
Explore Kubernetes if limited by Docker Swarm.,Francis  Michael meeting notes,35,,,,,,,,,,,,Infrastructure/Tech Debt,,,,,,,,Explore Kubernetes if limited by Docker Swarm.,2025 RPP Application (2027 Expected Outcomes),,,,,
Support for web-connected devices (continuous upload & processing).,Francis  Michael meeting notes,36,,,,,,,,,,,,Feature/Upload,,,,,,,,Support for web-connected devices (continuous upload & processing).,2025 RPP Application (2028 Expected Outcomes),,,,,
Test semi-automated training (active learning) of models.,Francis  Michael meeting notes,37,,,,,,,,,,,,Feature/ML,,,,,,,,Test semi-automated training (active learning) of models.,2025 RPP Application (Resource Request Justification),,,,,
"Add missing fields related to images when exporting (source image, height, width, etc.) to CSV.",Francis  Michael meeting notes,38,,,,,,,,,,,,Feature/Export,,,,,,,,"Add missing fields related to images when exporting (source image, height, width, etc.) to CSV.",Antenna alignment monthly meeting (Aarhus),,,,,
Ability to flag species outside classifier taxonomy (needs user stories).,Francis  Michael meeting notes,39,,,,,,,,,,,,Idea/Feature,,,,,,,,Ability to flag species outside classifier taxonomy (needs user stories).,Antenna alignment monthly meeting (Aarhus),,,,,
Restrict to species list (Class masking).,Francis  Michael meeting notes,40,,,,,,,,,,,,Feature/ML,,,,,,,,Restrict to species list (Class masking).,Antenna alignment monthly meeting (Aarhus),,,,,
Download X amount of photos for a species list with high confidence (Add new export format/filter).,Francis  Michael meeting notes,41,,,,,,,,,,,,Feature/Export/Filter,,,,,,,,Download X amount of photos for a species list with high confidence (Add new export format/filter).,Antenna alignment monthly meeting (Aarhus),,,,,
Clustering for labeling (vector search backend) - refactor work done for Panama.,Francis  Michael meeting notes,42,,,,,,,,,,,,Feature/ML/Tech Debt,,,,,,,,Clustering for labeling (vector search backend) - refactor work done for Panama.,Antenna alignment monthly meeting (Aarhus),,,,,
Labeling interface - Bulk labeling from the grid view.,Francis  Michael meeting notes,43,,,,,,,,,,,,Feature/UI/Labeling,,,,,,,,Labeling interface - Bulk labeling from the grid view.,Antenna alignment monthly meeting (Aarhus),,,,,
"Manually edit bounding box annotations for detections (delete, add, modify).",Francis  Michael meeting notes,44,,,,,,,,,,,,Feature/UI/Labeling,,,,,,,,"Manually edit bounding box annotations for detections (delete, add, modify).",Antenna alignment monthly meeting (Aarhus),,,,,
"New export format geared toward ML with previous predictions, corrected IDs (HuggingFace, Kaggle format).",Francis  Michael meeting notes,45,,,,,,,,,,,,Feature/Export/ML Dev,,,,,,,,"New export format geared toward ML with previous predictions, corrected IDs (HuggingFace, Kaggle format).",Antenna alignment monthly meeting (Aarhus),,,,,
Importing already-processed data into Antenna to use data management & collaboration tools.,Francis  Michael meeting notes,46,,,,,,,,,,,,Feature/Import,,,,,,,,Importing already-processed data into Antenna to use data management & collaboration tools.,Antenna alignment monthly meeting (Aarhus),,,,,
Test sets for standard evaluation of models (format and share ami-traps dataset).,Francis  Michael meeting notes,47,,,,,,,,,,,,ML Dev/Process,,,,,,,,Test sets for standard evaluation of models (format and share ami-traps dataset).,Antenna alignment monthly meeting (Aarhus),,,,,
Bug: Sign up as new user requires admin support (currently disabled).,Francis  Michael meeting notes,48,,,,,,,,,,,,Bug/Issue,,,,,,,,Bug: Sign up as new user requires admin support (currently disabled).,Antenna workflow overview & gaps (Line 2),,,,,
Bug: Reset password when not logged in is unstable (backend configuration incomplete).,Francis  Michael meeting notes,49,,,,,,,,,,,,Bug/Issue,,,,,,,,Bug: Reset password when not logged in is unstable (backend configuration incomplete).,Antenna workflow overview & gaps (Line 6),,,,,
Feature Rollout: Create a project from scratch is partially implemented/disabled for most users.,Francis  Michael meeting notes,50,,,,,,,,,,,,Feature/Status,,,,,,,,Feature Rollout: Create a project from scratch is partially implemented/disabled for most users.,Antenna workflow overview & gaps (Line 8),,,,,
Feature: Configure members for a project is partially implemented.,Francis  Michael meeting notes,51,,,,,,,,,,,,Feature/UI/Admin,,,,,,,,Feature: Configure members for a project is partially implemented.,Antenna workflow overview & gaps (Line 11),,,,,
"Needs Documentation: Configure processing services/pipelines for a project, Configure a storage/data source for a station.",Francis  Michael meeting notes,52,,,,,,,,,,,,Documentation,,,,,,,,"Needs Documentation: Configure processing services/pipelines for a project, Configure a storage/data source for a station.","Antenna workflow overview & gaps (Lines 14, 15, 19, 20)",,,,,
Post processing UI,Anna  Michael meeting notes,1,,,,,,,,,,,,Core Features & Improvements,,,,,,,,,,Post processing UI,"Feature area, mentioned multiple times as a goal (e.g., for Aarhus).","Aug 25th, Dec 15th",,
How to trigger post process steps from UI?,Anna  Michael meeting notes,2,,,,,,,,,,,,Core Features & Improvements,,,,,,,,,,How to trigger post process steps from UI?,Part of the Aarhus goals.,Aug 25th,,
Tracking,Anna  Michael meeting notes,3,,,,,,,,,,,,Core Features & Improvements,,,,,,,,,,Tracking,"Tracking in place (on demand, even from Django Admin). Mentioned as a September planning item.","Aug 25th, September Planning",,
Class masking,Anna  Michael meeting notes,4,,,,,,,,,,,,Core Features & Improvements,,,,,,,,,,Class masking,Mentioned as an Aarhus goal.,Aug 25th,,
Rank rollups,Anna  Michael meeting notes,5,,,,,,,,,,,,Core Features & Improvements,,,,,,,,,,Rank rollups,"Mentioned as an Aarhus goal. Kent is working on a list of “cryptic” species to use for this feature (e.g., “Cryptic clade”).","Aug 25th, Nov 17th",,
Exports to DARWIN core,Anna  Michael meeting notes,6,,,,,,,,,,,,Core Features & Improvements,,,,,,,,,,Exports to DARWIN core,Mentioned as an Aarhus goal.,Aug 25th,,
Publishing Zenodo DOI,Anna  Michael meeting notes,7,,,,,,,,,,,,Core Features & Improvements,,,,,,,,,,Publishing Zenodo DOI,Mentioned as an Aarhus goal.,Aug 25th,,
Use the zero-shot model,Anna  Michael meeting notes,8,,,,,,,,,,,,Core Features & Improvements,,,,,,,,,,Use the zero-shot model,"Mentioned as an Aarhus goal. Also related to ""Pipeline config (zero shot models)"" for UI.","Aug 25th, UI improvements",,
Default filters & project settings,Anna  Michael meeting notes,9,,,,,,,,,,,,Core Features & Improvements,,,,,,,,,,Default filters & project settings,Mentioned as an Aarhus goal. Backend requirements include Score threshold filter.,"Aug 25th, September Planning",,
Pipeline config from UI?,Anna  Michael meeting notes,10,,,,,,,,,,,,Core Features & Improvements,,,,,,,,,,Pipeline config from UI?,Mentioned as an Aarhus UI improvement and a September planning item.,"Aug 25th, September Planning",,
New project Wizzard,Anna  Michael meeting notes,11,,,,,,,,,,,,Core Features & Improvements,,,,,,,,,,New project Wizzard,"Idea for a new project flow, including Create from template, Create from images, Choose location, and Draft/Public options.",Aug 5th,,
Quick start project / demo,Anna  Michael meeting notes,12,,,,,,,,,,,,Core Features & Improvements,,,,,,,,,,Quick start project / demo,"A quick start project/demo vs. a dedicated inference page. Milestone: ""On boarding.""","Aug 5th, Aug 18th, September Planning",,
Project Settings & feature flags,Anna  Michael meeting notes,13,,,,,,,,,,,,Core Features & Improvements,,,,,,,,,,Project Settings & feature flags,Seems necessary for quick start & improving results.,Aug 5th,,
Import new species & species images,Anna  Michael meeting notes,14,,,,,,,,,,,,Core Features & Improvements,,,,,,,,,,Import new species & species images,September 2nd action item.,Sept 2nd,,
The ability to see where the problems are happening,Anna  Michael meeting notes,15,,,,,,,,,,,,Core Features & Improvements,,,,,,,,,,The ability to see where the problems are happening,Rather than them being obscured in the final output (related to data management issues).,"Mar 18th, 2025",,
IMAGE THUMBNAILING - Faster scrubbing (mp4s),Anna  Michael meeting notes,16,,,,,,,,,,,,Core Features & Improvements,,,,,,,,,,IMAGE THUMBNAILING - Faster scrubbing (mp4s),Performance improvement.,"Mar 18th, 2025",,
Configure members for a project,Anna  Michael meeting notes,17,,,,,,,,,,,,Core Features & Improvements,,,,,,,,,,Configure members for a project,Partially implemented. Anna and Mohamed are currently working on this.,Table [4],,
Create a project from scratch,Anna  Michael meeting notes,18,,,,,,,,,,,,Core Features & Improvements,,,,,,,,,,Create a project from scratch,"Partially implemented. Currently disabled for most users, but soon enabled for all.",Table [4],,
Citizen Science Version/Features,Anna  Michael meeting notes,19,,,,,,,,,,,,Citizen Science/iNaturalist,,,,,,,,,,Citizen Science Version/Features,Thinking about a version or features different from the version for big government/farms.,Nov 17th,,
Button to publish a single observation to iNaturalist?,Anna  Michael meeting notes,20,,,,,,,,,,,,Citizen Science/iNaturalist,,,,,,,,,,Button to publish a single observation to iNaturalist?,Simple feature idea.,Nov 17th,,
Create a user for each model on iNaturalist?,Anna  Michael meeting notes,21,,,,,,,,,,,,Citizen Science/iNaturalist,,,,,,,,,,Create a user for each model on iNaturalist?,Idea for how identifications should show up in iNat (a comment is likely fine). Requires associating with the user's own iNat account.,Nov 17th,,
More inline help for users,Anna  Michael meeting notes,22,,,,,,,,,,,,UI/UX/Process,,,,,,,,,,More inline help for users,"Adding tool tips, info dialogs, inline text blocks & links to full documentation.",Nov 17th,,
Discussion “Collections” terminology,Anna  Michael meeting notes,23,,,,,,,,,,,,UI/UX/Process,,,,,,,,,,Discussion “Collections” terminology,UX/Terminology discussion point.,Nov 17th,,
Separating workflows per user category,Anna  Michael meeting notes,24,,,,,,,,,,,,UI/UX/Process,,,,,,,,,,Separating workflows per user category,Writing user stories.,Aug 25th,,
Make session detail more clear,Anna  Michael meeting notes,25,,,,,,,,,,,,UI/UX/Process,,,,,,,,,,Make session detail more clear,"UI improvement for the ""results half"" of the platform.",Aug 25th,,
Tags for occurrences,Anna  Michael meeting notes,26,,,,,,,,,,,,UI/UX/Process,,,,,,,,,,Tags for occurrences,"UI improvement for the ""results half"" of the platform.",Aug 25th,,
Showing what has been processed,Anna  Michael meeting notes,27,,,,,,,,,,,,UI/UX/Process,,,,,,,,,,Showing what has been processed,"Overall, and within each context. UI improvement.",Aug 25th,,
More prototypes,Anna  Michael meeting notes,28,,,,,,,,,,,,UI/UX/Process,,,,,,,,,,More prototypes,Anna is doing more UX design and definition of tasks.,Aug 25th,,
Getting user personas and user stories on paper,Anna  Michael meeting notes,29,,,,,,,,,,,,UI/UX/Process,,,,,,,,,,Getting user personas and user stories on paper,Process/UX task.,"Aug 25th, September Planning",,
Need tooltips? Walkthrough dialogs?,Anna  Michael meeting notes,30,,,,,,,,,,,,UI/UX/Process,,,,,,,,,,Need tooltips? Walkthrough dialogs?,UX/Feature question for the new project wizard/onboarding.,Aug 5th,,
Filters vs project settings,Anna  Michael meeting notes,31,,,,,,,,,,,,UI/UX/Process,,,,,,,,,,Filters vs project settings,Design/UX question regarding default project filters.,"Aug 18th, 2025",,
Idea on how to disable filters,Anna  Michael meeting notes,32,,,,,,,,,,,,UI/UX/Process,,,,,,,,,,Idea on how to disable filters,Feature/UX idea for project filters.,"Aug 18th, 2025",,
Missing Singapore classifier option,Anna  Michael meeting notes,33,,,,,,,,,,,,Backend/Technical/Bugs,,,,,,,,,,Missing Singapore classifier option,Issue for Jenna's project. Pull request: RolnickLab/ami-data-companion/pull/72,Dec 15th,,
Still some sessions with unprocessed images,Anna  Michael meeting notes,34,,,,,,,,,,,,Backend/Technical/Bugs,,,,,,,,,,Still some sessions with unprocessed images,Issue for Jamie's project (at 10 minute intervals).,Dec 15th,,
Missing images,Anna  Michael meeting notes,35,,,,,,,,,,,,Backend/Technical/Bugs,,,,,,,,,,Missing images,Issue for Jenna's project—are they in object storage?,Dec 15th,,
Switch background tasks,Anna  Michael meeting notes,36,,,,,,,,,,,,Backend/Technical/Bugs,,,,,,,,,,Switch background tasks,From long running to many short. Backend improvement for September planning.,September Planning,,
Switch from form data to application/json,Anna  Michael meeting notes,37,,,,,,,,,,,,Backend/Technical/Bugs,,,,,,,,,,Switch from form data to application/json,Technical improvement idea related to the default project filters PR.,"Aug 18th, 2025",,
Issue of shared credentials,Anna  Michael meeting notes,38,,,,,,,,,,,,Backend/Technical/Bugs,,,,,,,,,,Issue of shared credentials,Worry about accidental deletion for Marc & Ariane project.,"Aug 5th, 2025",,
cover image fields,Anna  Michael meeting notes,39,,,,,,,,,,,,Backend/Technical/Bugs,,,,,,,,,,cover image fields,Promise to bring over ASAP. Need to cherry pick cover_image_url in the data migration.,"Aug 5th, 2025",,
Reset password when not logged in,Anna  Michael meeting notes,40,,,,,,,,,,,,Backend/Technical/Bugs,,,,,,,,,,Reset password when not logged in,Unstable. Backend configuration is incomplete. Suggestion to disable for now and ask people to write to us.,Table [4],,
Sign up as new user on the platform,Anna  Michael meeting notes,41,,,,,,,,,,,,Backend/Technical/Bugs,,,,,,,,,,Sign up as new user on the platform,Requires admin support. Implemented but currently disabled; users are manually added.,Table [4],,
Data management issues,Anna  Michael meeting notes,42,,,,,,,,,,,,Backend/Technical/Bugs,,,,,,,,,,Data management issues,"Rotated images, missing metadata, images that are just gray (bad data).","Mar 18th, 2025",,
h265 encoding with regional resolution,Anna  Michael meeting notes,43,,,,,,,,,,,,Backend/Technical/Bugs,,,,,,,,,,h265 encoding with regional resolution,Technical idea (run locally on rpi before upload).,"Mar 18th, 2025",,
New home for Antenna docs!,Anna  Michael meeting notes,44,,,,,,,,,,,,Documentation,,,,,,,,,,New home for Antenna docs!,Documentation-related goal.,"Aug 18th, 2025",,
Place for users to add their experience,Anna  Michael meeting notes,45,,,,,,,,,,,,Documentation,,,,,,,,,,Place for users to add their experience,Feature/Idea for documentation.,"Aug 18th, 2025",,
At least one documentation ticket,Anna  Michael meeting notes,46,,,,,,,,,,,,Documentation,,,,,,,,,,At least one documentation ticket,September planning item.,September Planning,,
Configure processing services/pipelines,Anna  Michael meeting notes,47,,,,,,,,,,,,Documentation,,,,,,,,,,Configure processing services/pipelines,Both of these tasks need documentation.,Table [4],,
Configure a storage/data source,Anna  Michael meeting notes,48,,,,,,,,,,,,Documentation,,,,,,,,,,Configure a storage/data source,Both of these tasks need documentation.,Table [4],,
Demonstration for self-installation,Anna  Michael meeting notes,49,,,,,,,,,,,,Documentation,,,,,,,,,,Demonstration for self-installation,For development (Aarhus goal).,Aug 25th,,
RUNNING ANTENNA LOCALLY,Anna  Michael meeting notes,50,,,,,,,,,,,,Documentation,,,,,,,,,,RUNNING ANTENNA LOCALLY,Topic of discussion.,"Mar 18th, 2025",,
UI for Project Managers to invite members and assign roles (Role Management UI),Dev Meeting,1,,,,,,,,,,,,User/Project Management,,,,,,,,,,,,,UI for Project Managers to invite members and assign roles (Role Management UI),"[1], [4] (Planning Topics), Generated Retrospective, Generated Roadmap"
"Self-service features (using feature-flags, complexity as an opt-in)",Dev Meeting,2,,,,,,,,,,,,,,,,,,,,,,,,,"Self-service features (using feature-flags, complexity as an opt-in)","[1], [4] (2026 Planning)"
"Use Roles system to hide/show features, default ordering of tables or which views are shown first",Dev Meeting,3,,,,,,,,,,,,,,,,,,,,,,,,,"Use Roles system to hide/show features, default ordering of tables or which views are shown first","[1], [4] (2026 Planning)"
Sign up as new user on the platform (Requires admin support/disabled),Dev Meeting,4,,,,,,,,,,,,,,,,,,,,,,,,,Sign up as new user on the platform (Requires admin support/disabled),[2] (Workflow Gaps)
Create a project from scratch (Partially implemented/disabled for most users),Dev Meeting,5,,,,,,,,,,,,,,,,,,,,,,,,,Create a project from scratch (Partially implemented/disabled for most users),[2] (Workflow Gaps)
Configure members for a project (Partially implemented/Anna and Mohamed working),Dev Meeting,6,,,,,,,,,,,,,,,,,,,,,,,,,Configure members for a project (Partially implemented/Anna and Mohamed working),[2] (Workflow Gaps)
"Ability to delete a site, pipeline, or device type",Dev Meeting,7,,,,,,,,,,,,,,,,,,,,,,,,,"Ability to delete a site, pipeline, or device type",[5] (Workshop Notes)
Search project option on the main page,Dev Meeting,8,,,,,,,,,,,,,,,,,,,,,,,,,Search project option on the main page,[5] (Workshop Notes)
"""Register new project"" button hard to find",Dev Meeting,9,,,,,,,,,,,,,,,,,,,,,,,,,"""Register new project"" button hard to find",[5] (Workshop Notes)
"Transition ""Sign-Up"" buttons to ""Contact Us"" (Strategic)",Dev Meeting,10,,,,,,,,,,,,,,,,,,,,,,,,,"Transition ""Sign-Up"" buttons to ""Contact Us"" (Strategic)",Generated Roadmap
Processing v2: Move to a distributed task system (Celery/RabbitMQ),Dev Meeting,11,,,,,,,,,,,,Data Processing & ML,,,,,,,,,,,,,Processing v2: Move to a distributed task system (Celery/RabbitMQ),"[1], [4] (Visions), Generated Retrospective, Generated Roadmap"
Order-level classifier (refinement & calibration),Dev Meeting,12,,,,,,,,,,,,,,,,,,,,,,,,,Order-level classifier (refinement & calibration),"[1], [4] (Planning Topics)"
"Size estimation (exposing size in UI, add centimeter calibration, incorporating size into models, building a dataset (Yuyan))",Dev Meeting,13,,,,,,,,,,,,,,,,,,,,,,,,,"Size estimation (exposing size in UI, add centimeter calibration, incorporating size into models, building a dataset (Yuyan))","[1], [4] (Planning Topics), Generated Retrospective"
"Summary metrics as you go (for troubleshooting, improving results, knowing when to stop/trust automated system)",Dev Meeting,14,,,,,,,,,,,,,,,,,,,,,,,,,"Summary metrics as you go (for troubleshooting, improving results, knowing when to stop/trust automated system)","[1], [4] (Planning Topics)"
Default to order level & wider metrics,Dev Meeting,15,,,,,,,,,,,,,,,,,,,,,,,,,Default to order level & wider metrics,"[1], [4] (Planning Topics)"
"Generalized pipeline (General insect detector, Global moth classifier)",Dev Meeting,16,,,,,,,,,,,,,,,,,,,,,,,,,"Generalized pipeline (General insect detector, Global moth classifier)",[3] (Big Picture Gaps)
"Post processing functions (small, blurry, tracking sequential detections)",Dev Meeting,17,,,,,,,,,,,,,,,,,,,,,,,,,"Post processing functions (small, blurry, tracking sequential detections)",[3] (Big Picture Gaps)
"Automated Quality Filters: auto-remove blurry, dark, or tiny images that clog results",Dev Meeting,18,,,,,,,,,,,,,,,,,,,,,,,,,"Automated Quality Filters: auto-remove blurry, dark, or tiny images that clog results","Generated Retrospective, Generated Roadmap"
"""Beyond Species ID"": biomass estimation, pixel-to-real-size calibration, and tracking for accurate individual counts",Dev Meeting,19,,,,,,,,,,,,,,,,,,,,,,,,,"""Beyond Species ID"": biomass estimation, pixel-to-real-size calibration, and tracking for accurate individual counts","Generated Retrospective, Generated Roadmap"
"Partner-Specific Pipelines (e.g., dedicated forest pest pipeline for NRCan/Joe)",Dev Meeting,20,,,,,,,,,,,,,,,,,,,,,,,,,"Partner-Specific Pipelines (e.g., dedicated forest pest pipeline for NRCan/Joe)",Generated Roadmap
"Data Uploader Tool (desktop app to abstract S3 uploads, sync data directly from SD cards)",Dev Meeting,21,,,,,,,,,,,,Data Import & Export,,,,,,,,,,,,,"Data Uploader Tool (desktop app to abstract S3 uploads, sync data directly from SD cards)","[1], [4] (2026 Planning), [3] (Big Picture Gaps), Generated Retrospective, Generated Roadmap"
"Research & document plan for easier data import from cameras / SD cards (e.g., Desktop app, CLI scripts, reducing mistakes/increasing robustness)",Dev Meeting,22,,,,,,,,,,,,,,,,,,,,,,,,,"Research & document plan for easier data import from cameras / SD cards (e.g., Desktop app, CLI scripts, reducing mistakes/increasing robustness)",[3] (Big Picture Gaps)
Importing Taxa lists,Dev Meeting,23,,,,,,,,,,,,,,,,,,,,,,,,,Importing Taxa lists,[3] (Big Picture Gaps)
"Importing Data processed externally (Detections, Predictions from flatbug/Mothbox)",Dev Meeting,24,,,,,,,,,,,,,,,,,,,,,,,,,"Importing Data processed externally (Detections, Predictions from flatbug/Mothbox)",[3] (Big Picture Gaps)
Importing Captures (import a list of public HTTP urls),Dev Meeting,25,,,,,,,,,,,,,,,,,,,,,,,,,Importing Captures (import a list of public HTTP urls),[3] (Big Picture Gaps)
Darwincore export,Dev Meeting,26,,,,,,,,,,,,,,,,,,,,,,,,,Darwincore export,[3] (Big Picture Gaps)
Export format for ML retraining (see whiteboard from Aarhus on format),Dev Meeting,27,,,,,,,,,,,,,,,,,,,,,,,,,Export format for ML retraining (see whiteboard from Aarhus on format),[3] (Big Picture Gaps)
Separate image uploading from the first two steps during deployment registration,Dev Meeting,28,,,,,,,,,,,,,,,,,,,,,,,,,Separate image uploading from the first two steps during deployment registration,[5] (Workshop Notes)
Sample captures only valid when image file name is in a YYYYMMDDHHMMSS format,Dev Meeting,29,,,,,,,,,,,,,,,,,,,,,,,,,Sample captures only valid when image file name is in a YYYYMMDDHHMMSS format,[5] (Workshop Notes)
Being able to click the save after uploading sample capture images,Dev Meeting,30,,,,,,,,,,,,,,,,,,,,,,,,,Being able to click the save after uploading sample capture images,[5] (Workshop Notes)
"DB Table partitions (Partitioning, Database Scaling/Optimization)",Dev Meeting,31,,,,,,,,,,,,Database & Infrastructure,,,,,,,,,,,,,"DB Table partitions (Partitioning, Database Scaling/Optimization)","[1], [4] (Visions), Generated Retrospective, Generated Roadmap"
Better db snapshots for automated and manual testing,Dev Meeting,32,,,,,,,,,,,,,,,,,,,,,,,,,Better db snapshots for automated and manual testing,"[1], [4] (Visions)"
Automated backups (Francis's hidden work),Dev Meeting,33,,,,,,,,,,,,,,,,,,,,,,,,,Automated backups (Francis's hidden work),"[1], [4] (Visions)"
"Multiple environments and auto deployment (Dev, Staging, Branch deploys, User tests, Demo, Production now/next)",Dev Meeting,34,,,,,,,,,,,,,,,,,,,,,,,,,"Multiple environments and auto deployment (Dev, Staging, Branch deploys, User tests, Demo, Production now/next)","[1], [4] (Dev Backlog)"
Split up backend modules,Dev Meeting,35,,,,,,,,,,,,,,,,,,,,,,,,,Split up backend modules,"[1], [4] (Dev Backlog)"
Email sending,Dev Meeting,36,,,,,,,,,,,,,,,,,,,,,,,,,Email sending,"[1], [4] (Dev Backlog)"
Image resizing (thumbnailing),Dev Meeting,37,,,,,,,,,,,,,,,,,,,,,,,,,Image resizing (thumbnailing),"[1], [4] (2026 Planning), [4] (Dev Backlog)"
Complete migration of UI components from raw Radix primitives to shadcn/ui,Dev Meeting,38,,,,,,,,,,,,Frontend & UI/UX,,,,,,,,,,,,,Complete migration of UI components from raw Radix primitives to shadcn/ui,"[1], [4] (Anna's FE wishlist)"
Make an instructions file about the frontend overall,Dev Meeting,39,,,,,,,,,,,,,,,,,,,,,,,,,Make an instructions file about the frontend overall,"[1], [4] (Anna's FE wishlist)"
Complete migration from style modules to Tailwind CSS,Dev Meeting,40,,,,,,,,,,,,,,,,,,,,,,,,,Complete migration from style modules to Tailwind CSS,"[1], [4] (Anna's FE wishlist)"
Move UI kit back to Antenna repo,Dev Meeting,41,,,,,,,,,,,,,,,,,,,,,,,,,Move UI kit back to Antenna repo,"[1], [4] (Anna's FE wishlist)"
Migrate to React 19,Dev Meeting,42,,,,,,,,,,,,,,,,,,,,,,,,,Migrate to React 19,"[1], [4] (Anna's FE wishlist)"
Streamline form handling across app,Dev Meeting,43,,,,,,,,,,,,,,,,,,,,,,,,,Streamline form handling across app,"[1], [4] (Anna's FE wishlist)"
Migrate to Next.js (simplify routing and code splitting),Dev Meeting,44,,,,,,,,,,,,,,,,,,,,,,,,,Migrate to Next.js (simplify routing and code splitting),"[1], [4] (Visions), [4] (Anna's FE wishlist)"
"End-to-end tests (Cypress, Playwright) / Browser based acceptance tests",Dev Meeting,45,,,,,,,,,,,,,,,,,,,,,,,,,"End-to-end tests (Cypress, Playwright) / Browser based acceptance tests","[1], [4] (Visions), [4] (Dev Backlog), [4] (Anna's FE wishlist)"
Represent Antenna UI in Figma (for high fidelity prototyping),Dev Meeting,46,,,,,,,,,,,,,,,,,,,,,,,,,Represent Antenna UI in Figma (for high fidelity prototyping),"[1], [4] (Anna's FE wishlist)"
Upgrade Node.js,Dev Meeting,47,,,,,,,,,,,,,,,,,,,,,,,,,Upgrade Node.js,"[1], [4] (Anna's FE wishlist)"
More obvious interlinking between occurrence detail and session detail,Dev Meeting,48,,,,,,,,,,,,,,,,,,,,,,,,,More obvious interlinking between occurrence detail and session detail,[3] (Big Picture Gaps)
Consistent saving behavior,Dev Meeting,49,,,,,,,,,,,,,,,,,,,,,,,,,Consistent saving behavior,[3] (Big Picture Gaps)
More quick buttons for processing & collections,Dev Meeting,50,,,,,,,,,,,,,,,,,,,,,,,,,More quick buttons for processing & collections,[3] (Big Picture Gaps)
Hovering toolbar in the session detail per occurrence?,Dev Meeting,51,,,,,,,,,,,,,,,,,,,,,,,,,Hovering toolbar in the session detail per occurrence?,[3] (Big Picture Gaps)
